city,state
Port Blair,Andaman and Nicobar Islands
Diglipur,Andaman and Nicobar Islands
Rongat,Andaman and Nicobar Islands
Vishakhapatnam,Andhra Pradesh
Vijayawada,Andhra Pradesh
Guntur,Andhra Pradesh
Nellore,Andhra Pradesh
Kurnool,Andhra Pradesh
Kakinada,Andhra Pradesh
Cuddapah,Andhra Pradesh
Rajahmundry,Andhra Pradesh
Tirupati,Andhra Pradesh
Anantapur,Andhra Pradesh
Tuni,Andhra Pradesh
Machilipatnam,Andhra Pradesh
Vizianagaram,Andhra Pradesh
Ongole,Andhra Pradesh
Kodumur,Andhra Pradesh
Ellore,Andhra Pradesh
Nandyal,Andhra Pradesh
Pulimaddi,Andhra Pradesh
Madanapalle,Andhra Pradesh
Chirala,Andhra Pradesh
Adoni,Andhra Pradesh
Alasandigutta,Andhra Pradesh
Tenali,Andhra Pradesh
Proddatur,Andhra Pradesh
Chittoor,Andhra Pradesh
Hindupur,Andhra Pradesh
Nuzvid,Andhra Pradesh
Bhimavaram,Andhra Pradesh
Chicacole,Andhra Pradesh
Guntakal,Andhra Pradesh
Dharmavaram,Andhra Pradesh
Jandrapeta,Andhra Pradesh
Gudivada,Andhra Pradesh
Narasaraopet,Andhra Pradesh
Tadpatri,Andhra Pradesh
Tadepallegudem,Andhra Pradesh
Amaravati,Andhra Pradesh
Chilakalurupet,Andhra Pradesh
Suramala,Andhra Pradesh
Kalluru,Andhra Pradesh
Pedagadi,Andhra Pradesh
Emmiganur,Andhra Pradesh
Yalamakuru,Andhra Pradesh
Rayachoti,Andhra Pradesh
Kavali,Andhra Pradesh
Kadiri,Andhra Pradesh
Anakapalle,Andhra Pradesh
Chinnachauku,Andhra Pradesh
Tanuku,Andhra Pradesh
Yanam,Andhra Pradesh
Gangammapeta,Andhra Pradesh
Gudur,Andhra Pradesh
Mangalagiri,Andhra Pradesh
Rayadrug,Andhra Pradesh
Markapur,Andhra Pradesh
Bapatla,Andhra Pradesh
Badvel,Andhra Pradesh
Piduguralla,Andhra Pradesh
Pulivendla,Andhra Pradesh
Tadepalle,Andhra Pradesh
Pamuru,Andhra Pradesh
Nagari,Andhra Pradesh
Razampeta,Andhra Pradesh
Chandralapadu,Andhra Pradesh
Ponnuru,Andhra Pradesh
Vinukonda,Andhra Pradesh
Dhone,Andhra Pradesh
Narasapur,Andhra Pradesh
Palasa,Andhra Pradesh
Macherla,Andhra Pradesh
Kandukur,Andhra Pradesh
Samalkot,Andhra Pradesh
Bobbili,Andhra Pradesh
Sattenapalle,Andhra Pradesh
Mandapeta,Andhra Pradesh
Atchampeta,Andhra Pradesh
Bhimunipatnam,Andhra Pradesh
Pithapuram,Andhra Pradesh
Punganuru,Andhra Pradesh
Puttur,Andhra Pradesh
Palmaner,Andhra Pradesh
Parvatipuram,Andhra Pradesh
Mansala,Andhra Pradesh
